"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Name 1","Old Health Facility Name 2","Old Health Facility Name 3","Facility Major Type","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Service Capability","Bed Capacity","Licensing Status","License Validity Date"
"DOH000000000015459","15459","CABATANGAN BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LAMBUNAO","0603025000","CABATANGAN","0603025020","5042"," "," "," "," "," "," ","","0"," ",""
"DOH000000000018280","18280","CABATUAN MAIN HEALTH CENTER I","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","SAN AGUSTIN STREET","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CABATUAN","0603012000","ZONE VIII POB.","0603012053","5031","+63 335228614","","","","","","","0"," ",""
"DOH000000000024069","24069","CABATUAN MAIN HEALTH CENTER II","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","SAN AGUSTIN STREET","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CABATUAN","0603012000","ZONE VIII POB.","0603012053","5031","+63 335228614","","","","","","","0"," ",""
"DOH000000000003804","3804","CABATUAN PRIMARY CARE FACILITY 1","CABATUAN PUERICULTURE CENTER","CABATUAN RURAL HEALTH UNIT","","Health Facility","Rural Health Unit","Government","Local Government Unit","","SAN AGUSTIN STREET","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CABATUAN","0603012000","ZONE VIII POB.","0603012053","5031","+63 335228614","","+63 335228940","emailrhucabatuan@gmail.com","","","N/A","4","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000046362","46362","CABATUAN RURAL HEALTH UNIT II","","","","Health Facility","Rural Health Unit","Government","","","BARANGAY PUYAS","CABATUAN RURAL HEALTH UNIT II PUYAS","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CABATUAN","0603012000","PUYAS","0603012056","5031","","","","","","","","0"," ",""
"DOH000000000001560","1560","CABAYOGAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","BADIANGAN","0603004000","CABAYOGAN","0603004007","5033","","","","","","","","0"," ",""
"DOH000000000045910","45910","CABIAWAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","SAN REMIGIO","0600614000","CABIAWAN","0600614012","5714","","","","","","","","0"," ",""
"DOH000000000018454","18454","CABILAUAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","NEW LUCENA","0603032000","CABILAUAN","0603032009","5005","","","","","","","","0"," ",""
"DOH000000000024169","24169","CABLADAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","SIBALOM","0600616000","CABLADAN","0600616014","5713","","","","","","","","0"," ",""
"DOH000000000033772","33772","CABOLOAN NORTE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","OTON","0603034000","CABOLOAN NORTE","0603034011","5020","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000046875","46875","CABOLOAN SUR BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","OTON","0603034000","CABOLOAN SUR","0603034012","","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000001853","1853","CABUBUGAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","GUIMBAL","0603020000","CABUBUGAN","0603020014","5022","","","","violgaleno@gmail.com","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000018400","18400","CABUDIAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","DUE?AS","0603017000","CABUDIAN","0603017013","5038","","","","","","","","0"," ",""
"DOH000000000018913","18913","CABUGAO BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","BATAN","0600404000","CABUGAO","0600404005","5615"," "," "," "," "," "," ","","0"," ",""
"DOH000000000023855","23855","CABUGAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","IVISAN","0601905000","CABUGAO","0601905005","5805","","","","","","","","0"," ",""
"DOH000000000004771","4771","CABUGAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","CITY OF ROXAS (CAPITAL)","0601914000","CABUGAO","0601914021","5800","","","","","","","","0"," ",""
"DOH000000000008353","8353","CABUGAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANITAN","0601910000","CABUGAO","0601910008","5815","","","","","","","","0"," ",""
"DOH000000000015483","15483","CABUGAO BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LAMBUNAO","0603025000","CABUGAO","0603025021","5042"," "," "," "," "," "," ","","0"," ",""
"DOH000000000039685","39685","CABUGAO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PONTEVEDRA","0601912000","CABUGAO","0601912008","5802","","","","","","","","0"," ",""
"DOH000000000008258","8258","CABUGAO ESTE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANAY","0601909000","CABUGAO ESTE","0601909016","5801","","","","","","","","0"," ",""
"DOH000000000018307","18307","CABUGAO NORTE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","SANTA BARBARA","0603043000","CABUGAO NORTE","0603043022","5002","033 503 9042","","","","","","","0"," ",""
"DOH000000000024050","24050","CABUGAO NORTE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","PAVIA","0603036000","CABUGAO NORTE","0603036009","5001","033 5011297","","","marjorie.bandada@yahoo.com","","","","0"," ",""
"DOH000000000046363","46363","CABUGAO SUR BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","CABUGAO SUR PAVIA","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","PAVIA","0603036000","CABUGAO SUR","0603036010","","033 5011297","","","","","","","0"," ",""
"DOH000000000008193","8193","CABUGCABUG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PRESIDENT ROXAS","0601913000","CABUGCABUG","0601913004","5803","","","","","","","","0"," ",""
"DOH000000000024216","24216","CABUNGA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CITY OF PASSI","0603035000","CABUNGA","0603035016","5037","033-311-5046","","","passicity_healthoffice@yahoo.com","dohro6hrh.passicity@gmail.com","","","0"," ",""
"DOH000000000051001","51001","CABUNGAHAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","MA-AYON","0601907000","CABUNGAHAN","0601907007","5809","","","","","","","","0"," ",""
"DOH000000000009677","9677","CABUNGAHAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","GUIMARAS","0607900000","SAN LORENZO","0607904000","CABUNGAHAN","0607904003","5047","","","","","","","","0"," ",""
"DOH000000000016507","16507","CADABDAB BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","TUBUNGAN","0603046000","CADABDAB","0603046020","5027","+639753369592","","","","","","","0"," ",""
"DOH000000000004554","4554","CADAGMAYAN SUR BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","SANTA BARBARA","0603043000","CADAGMAYAN SUR","0603043025","5002","033 503 9042","","","","","","","0"," ",""
"DOH000000000018432","18432","CADILANG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CITY OF PASSI","0603035000","CADILANG","0603035017","5037","033-311-5046","","","passicity_healthoffice@yahoo.com","dohro6hrh.passicity@gmail.com","","","0"," ",""
"DOH000000000046870","46870","CADINGLIAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","OTON","0603034000","CADINGLIAN","0603034013","5020","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000001025","1025","CADIO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANITAN","0601910000","CADIO","0601910010","5815","","","","rhupanitan@gmail.com","","","","0"," ",""
"DOH000000000018327","18327","CAFE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","SANTA BARBARA","0603043000","CAFE","0603043026","5002","033 503 9042","","","","","","","0"," ",""
"DOH000000000018436","18436","CAGAMUTAN NORTE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LEGANES","0603026000","CAGAMUTAN NORTE","0603026004","5003","","","","stellaban63@gmail.com","","","","0"," ",""
"DOH000000000017575","17575","CAGAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","ALIMODIAN","0603002000","CAGAY","0603002019","5028","","","","","","","","0"," ",""
"DOH000000000008146","8146","CAGAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","BLISS","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","CITY OF ROXAS (CAPITAL)","0601914000","CAGAY","0601914022","5800","","","","","","","","0"," ",""
"DOH000000000017351","17351","CAGBANG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","OTON","0603034000","CAGBANG","0603034014","5020","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000003647","3647","CAIDQUID BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","SITIO ILAYA","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","MAMBUSAO","0601908000","CAIDQUID","0601908013","5807","","","","","","","","0"," ",""
"DOH000000000018669","18669","CAINGIN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","BLISS BASKETBALL COURT, CAINGIN","","REGION VI (WESTERN VISAYAS)","0600000000","CITY OF ILOILO  (HUC)","0631000000","CITY OF ILOILO (CAPITAL)","0631000000","CAINGIN","0631000029","5000","+63 333250954","","","ldhc_iloilo@yahoo.com","","","","0"," ",""
"DOH000000000019305","19305","CAJILO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","MAKATO","0600411000","CAJILO","0600411007","5611","+63 362763043","","","","","","","0"," ",""
"DOH000000000003648","3648","CALA-AGUS BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","MAMBUSAO","0601908000","CALA-AGUS","0601908014","5807","","","","","","","","0"," ",""
"DOH000000000008286","8286","CALA-AN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANITAN","0601910000","CALA-AN","0601910011","5815","+63 366340665","","","rhupanitan@gmail.com","","","","0"," ",""
"DOH000000000024065","24065","CALACA-AN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","DUE?AS","0603017000","CALACA-AN","0603017014","5038","","","","","","","","0"," ",""
"DOH000000000044495","44495","CALACJA 1 BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","PUROK 2","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","HAMTIC","0600608000","CALACJA I","0600608012","5715","","","","","","","","0"," ",""
"DOH000000000044494","44494","CALACJA II BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","HAMTIC","0600608000","CALACJA II","0600608013","5715","","","","","","","","0"," ",""
"DOH000000000015497","15497","CALAIGANG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","SAN RAFAEL","0603042000","CALAIGANG","0603042003","5039","","","","","","","","0"," ",""
"DOH000000000044492","44492","CALALA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","HAMTIC","0600608000","CALALA","0600608014","5715","","","","","","","","0"," ",""
"DOH000000000046872","46872","CALAM-ISAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","OTON","0603034000","CALAM-ISAN","0603034015","5020","","","","","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000018793","18793","CALAMCAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","LIBACAO","0600409000","CALAMCAN","0600409006","5602","","","","","","","","0"," ",""
"DOH000000000015229","15229","CALAMIGAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CONCEPCION","0603015000","CALAMIGAN","0603015009","5013","+63 333203554","","","concepcionrhu5013@gmail.com","","","","0"," ",""
"DOH000000000018578","18578","CALAPARAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","ZONE 15","","REGION VI (WESTERN VISAYAS)","0600000000","CITY OF ILOILO  (HUC)","0631000000","CITY OF ILOILO (CAPITAL)","0631000000","CALAPARAN","0631000031","5000","","","","arevalohealthcenterc@yahoo.com","fabillanopheobe@gmail.com","","","0"," ",""
"DOH000000000008262","8262","CALAPAWAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","PANAY","0601909000","CALAPAWAN","0601909018","5801","","","","","","","","0"," ",""
"DOH000000000009745","9745","CALAYA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","GUIMARAS","0607900000","NUEVA VALENCIA","0607903000","CALAYA","0607903002","5046","","","","","","","","0"," ",""
"DOH000000000017513","17513","CALE BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","IGBARAS","0603021000","CALE","0603021015","5029","","","","tinaescauriasa@gmail.com","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000018620","18620","CALICUANG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","DINGLE","0603016000","CALICUANG","0603016008","5035","+63 333510511","","","arf929.af@gmail.com","","","","0"," ",""
"DOH000000000017768","17768","CALIFORNIA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","BAROTAC VIEJO","0603008000","CALIFORNIA","0603008004","5011","","","","ylajangayo@gmail.com","","","","0"," ",""
"DOH000000000019318","19318","CALIMBAJAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","MAKATO","0600411000","CALIMBAJAN","0600411009","5611","+63 362763043","","","","","","","0"," ",""
"DOH000000000017934","17934","CALINOG - MAIN HEALTH CENTER","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CALINOG","0603013000","POBLACION DELGADO","0603013058","5040","","","","","","","","0"," ",""
"DOH000000000005222","5222","CALINOG RURAL HEALTH UNIT","","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","CALINOG","0603013000","POBLACION RIZAL ILAUD","0603013059","5040","+63 333471429","","","calinogrhu@gmail.com","","","","0"," ",""
"DOH000000000019349","19349","CALIZO BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","BALETE","0600402000","CALIZO","0600402004","5614","","","","","","","","0"," ",""
"DOH000000000013626","13626","CALLAN BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","SEBASTE","0600615000","CALLAN","0600615006","5709"," "," "," "," "," "," ","","0"," ",""
"DOH000000000018376","18376","CALMAY BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","JANIUAY","0603023000","CALMAY","0603023011","5034","(033) 330 8206","","","janiuayrhu@yahoo.com","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000015484","15484","CALOY-AHAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LAMBUNAO","0603025000","CALOY-AHAN","0603025024","5042","","","","","","","","0"," ",""
"DOH000000000005015","5015","CALUMPANG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","2ND JUNTADO STREET","","REGION VI (WESTERN VISAYAS)","0600000000","CITY OF ILOILO  (HUC)","0631000000","CITY OF ILOILO (CAPITAL)","0631000000","CALUMPANG","0631000032","5000","+63 333274623","","","aprilroselomigo@gmail.com","molodistricthealthcenter2022@gmail.com","","","0"," ",""
"DOH000000000005610","5610","CALUYA PRIMARY CARE FACILITY","CALUYA RURAL HEALTH UNIT","","","Health Facility","Rural Health Unit","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","CALUYA","0600605000","POBLACION","0600605011","5711","+63 366530081","","","mho_caluya@yahoo.com","","","","7","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2026"
"DOH000000000018719","18719","CAMALIG BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","ZONE I","","REGION VI (WESTERN VISAYAS)","0600000000","CITY OF ILOILO  (HUC)","0631000000","CITY OF ILOILO (CAPITAL)","0631000000","CAMALIG","0631000033","5000","+63 3153036","","","jaroiimhc@gmail.com","jaroiimhc@yahoo.com","","","0"," ",""
"DOH000000000003661","3661","CAMALIGAN BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","BATAN","0600404000","CAMALIGAN","0600404006","5615"," "," "," "," "," "," ","","0"," ",""
"DOH000000000016126","16126","CAMAMBUGAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","PUROK 2","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","BALASAN","0603005000","CAMAMBUGAN","0603005006","5018","","","","demar1966badayos@gmail.com","balasanrhu15@gmail.com","","","0"," ",""
"DOH000000000018699","18699","CAMANCI BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","BATAN","0600404000","CAMANCI","0600404007","5615","","","","","","","","0"," ",""
"DOH000000000013600","13600","CAMANCIJAN BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","CULASI","0600606000","CAMANCIJAN","0600606014","5708","2778704"," "," "," "," "," ","","0"," ",""
"DOH000000000017205","17205","CAMANGAHAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","GUIMBAL","0603020000","CAMANGAHAN","0603020016","5022","","","","ritziega@gmail.com","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000023908","23908","CAMBURANAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","TAPAZ","0601917000","CAMBURANAN","0601917012","5814","","","","","","","","0"," ",""
"DOH000000000004399","4399","CAMIROS BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","ANILAO","0603003000","CAMIROS","0603003006","5009","+63 333620404","","","","","","","0"," ",""
"DOH000000000017255","17255","CANANAMAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LEON","0603028000","CANANAMAN","0603028033","5026","","","","","","","","0"," ",""
"DOH000000000008541","8541","CANAPIAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","MA-AYON","0601907000","CANAPIAN","0601907008","5809","","","","","","","","0"," ",""
"DOH000000000016278","16278","CANAS BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","SAN DIONISIO","0603038000","CANAS","0603038007","5015","","","","","","","","0"," ",""
"DOH000000000018373","18373","CANAUILI BARANGAY HEALTH STATION","CANAUILLAN BARANGAY HEALTH STATION","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","JANIUAY","0603023000","CANAWILI","0603023012","5034","","","","janiuayrhu@yahoo.com","","","","0","<b>Licensing Status:</b><br><span class=' btn-info'>Without License</span>",""
"DOH000000000024152","24152","CANDARI BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","","","","","REGION VI (WESTERN VISAYAS)","0600000000","ANTIQUE","0600600000","PANDAN","0600611000","CANDARI","0600611009","5712","","","","rhu_pandan@yahoo.com","","","","0"," ",""
"DOH000000000004717","4717","CANDELARIA BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","CAPIZ","0601900000","TAPAZ","0601917000","CANDELARIA","0601917013","5814","","","","","","","","0"," ",""
"DOH000000000018819","18819","CANDELARIA BARANGAY HEALTH STATION"," "," "," ","Health Facility","Barangay Health Station","Government","Local Government Unit",""," "," ","REGION VI (WESTERN VISAYAS)","0600000000","AKLAN","0600400000","NEW WASHINGTON","0600415000","CANDELARIA","0600415001","5610"," "," "," "," "," "," ","","0"," ",""
"DOH000000000009738","9738","CANHAWAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","GUIMARAS","0607900000","NUEVA VALENCIA","0607903000","CANHAWAN","0607903003","5046","","","","","","","","0"," ",""
"DOH000000000015462","15462","CANINGUAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","LAMBUNAO","0603025000","CANINGUAN","0603025025","5042","","","","","","","","0"," ",""
"DOH000000000018319","18319","CANIPAYAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","SANTA BARBARA","0603043000","CANIPAYAN","0603043030","5002","033 503 9042","","","","","","","0"," ",""
"DOH000000000017624","17624","CANO-AN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","ESTANCIA","0603019000","CANO-AN","0603019007","5017","","","","estanciarhu@yahoo.com","","","","0"," ",""
"DOH000000000047166","47166","CANOAN BARANGAY HEALTH STATION","","","","Health Facility","Barangay Health Station","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","0600000000","ILOILO","0603000000","ESTANCIA","0603019000","CANO-AN","0603019007","5017","","","","estanciarhu@yahoo.com","","","","0"," ",""
